painting,paintingLabel,creator,creatorLabel,movement,movementLabel,museum,museumLabel,image
http://www.wikidata.org/entity/Q23907301,El gegant encantat. Montserrat,http://www.wikidata.org/entity/Q366930,Santiago Rusiñol,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/El%20gegant%20encantat.jpg
http://www.wikidata.org/entity/Q23907309,Interior. Es pot?,http://www.wikidata.org/entity/Q366930,Santiago Rusiñol,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Santiago%20Rusi%C3%B1ol%20-%20Interior%2C%20es%20pot.jpg
http://www.wikidata.org/entity/Q23907318,El senyor Bofill a Sitges,http://www.wikidata.org/entity/Q366930,Santiago Rusiñol,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Santiago%20Rusi%C3%B1ol%20-%20El%20Senyor%20Bofill%20a%20Sitges.jpg
http://www.wikidata.org/entity/Q23907333,Café des Incohérents,http://www.wikidata.org/entity/Q366930,Santiago Rusiñol,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Santiago%20Rusinol%20Cafe%20des%20Incoh%C3%A9rents%201889-1890%20Museum%20Montserrat.jpg
http://www.wikidata.org/entity/Q17519475,Retrato de Gaspar Melchor de Jovellanos,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q14378,neoclasicismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%20y%20Lucientes%20-%20Gaspar%20Melchor%20de%20Jovellanos.jpg
http://www.wikidata.org/entity/Q5811810,El garrote vil,http://www.wikidata.org/entity/Q725681,Ramón Casas,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q460889,Museo Nacional Centro de Arte Reina Sofía,http://commons.wikimedia.org/wiki/Special:FilePath/Garrote%20vil%2C%20de%20Ram%C3%B3n%20Casas.jpg
http://www.wikidata.org/entity/Q8208907,Au Moulin de la Galette,http://www.wikidata.org/entity/Q725681,Ramón Casas,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Au%20Moulin%20de%20la%20Galette.jpg
http://www.wikidata.org/entity/Q9015019,Joven decadente,http://www.wikidata.org/entity/Q725681,Ramón Casas,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Jove%20decadent.jpg
http://www.wikidata.org/entity/Q11679864,Antes del baño,http://www.wikidata.org/entity/Q725681,Ramón Casas,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Abans%20del%20bany.jpg
http://www.wikidata.org/entity/Q21789836,The little one and the good companion,http://www.wikidata.org/entity/Q4894325,Francisco Gimeno Arasa,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/GimenoMontserat.jpg
http://www.wikidata.org/entity/Q3035767,Don Diego del Corral y Arellano,http://www.wikidata.org/entity/Q297,Diego Velázquez,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Diego%20del%20Corral%20y%20Arellano%2C%20por%20Diego%20Vel%C3%A1zquez.jpg
http://www.wikidata.org/entity/Q3038404,Doña Antonia de Ipeñarrieta y Galdós y su hijo don Luis,http://www.wikidata.org/entity/Q297,Diego Velázquez,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Do%C3%B1a%20Antonia%20de%20Ipe%C3%B1arrieta%20y%20su%20hijo%2C%20by%20Diego%20Vel%C3%A1zquez.jpg
http://www.wikidata.org/entity/Q3540491,Cabeza de venado o guitarra,http://www.wikidata.org/entity/Q297,Diego Velázquez,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Vel%C3%A1zquez%20-%20Cabeza%20de%20venado%20%28Museo%20del%20Prado%2C%201626-28%29.jpg
http://www.wikidata.org/entity/Q3918296,Virgen del Rosario con el Niño,http://www.wikidata.org/entity/Q192062,Bartolomé Esteban Murillo,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20Rosario%20%28Murillo%29.jpg
http://www.wikidata.org/entity/Q11791669,La Inmaculada Concepción,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Inmaculada%20%28Zurbar%C3%A1n%29.jpg
http://www.wikidata.org/entity/Q15943274,Santa Isabel de Portugal,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Isabel%20de%20Portugal.jpg
http://www.wikidata.org/entity/Q152867,La maja desnuda,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Maja%20desnuda%20%28museo%20del%20Prado%29.jpg
http://www.wikidata.org/entity/Q920030,La familia de Carlos IV,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/La%20familia%20de%20Carlos%20IV%2C%20por%20Francisco%20de%20Goya.jpg
http://www.wikidata.org/entity/Q959628,Visión fantástica o Asmodea,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Vision%20fant%C3%A1stica%20o%20Asmodea%20%28Goya%29.jpg
http://www.wikidata.org/entity/Q1091086,El tres de mayo de 1808 en Madrid,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%20y%20Lucientes%20-%20Los%20fusilamientos%20del%20tres%20de%20mayo%20-%201814.jpg
http://www.wikidata.org/entity/Q1150997,Saturno devorando a su hijo,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%2C%20Saturno%20devorando%20a%20su%20hijo%20%281819-1823%29.jpg
http://www.wikidata.org/entity/Q2413468,El coloso,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/El%20coloso.jpg
http://www.wikidata.org/entity/Q2528477,El aquelarre,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Aquelarre.jpg
http://www.wikidata.org/entity/Q3246755,La nevada,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/La%20nevada%2C%20Francisco%20de%20Goya.jpg
http://www.wikidata.org/entity/Q3314110,La romería de San Isidro,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/La%20romer%C3%ADa%20de%20San%20Isidro.jpg
http://www.wikidata.org/entity/Q5664591,Alegoría de la Industria,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Alegor%C3%ADa%20de%20la%20industria.jpg
http://www.wikidata.org/entity/Q19915289,Fusilamiento de Torrijos y sus compañeros en las playas de Málaga,http://www.wikidata.org/entity/Q2298247,Antonio Gisbert,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Fusilamiento%20de%20Torrijos%20%28Gisbert%29.jpg
http://www.wikidata.org/entity/Q6043567,Chicos en la playa,http://www.wikidata.org/entity/Q351746,Joaquín Sorolla,http://www.wikidata.org/entity/Q40415,impresionismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Chicos%20en%20la%20playa%2C%20por%20Joaqu%C3%ADn%20Sorolla.jpg
